ABTL
AHC
AUTO
CSS
DJCO
DLX
FOX
FOXA
GCI
GHC
INWK
JW
LABL
LEE
LOAN
MDP
MNI
NYT
SCHL
TIME
TPHS
TRNC
TST
TZOO
VALU
WETF
