ALTM
AMPY
APA
AR
ARIS
BATL
BRN
CEI
CIVI
CKX
COP
CPE
CRC
CRGY
CRK
CTRA
CVI
D
DEN
DINO
DK
DO
DVN
DWSN
EGY
ENSV
EOG
EP
EPM
EQT
ESTE
FLMN
FRHC
FTSI
GBR
GPOR
GTE
HAL
HES
HESM
HFC
HLX
HNRG
HP
HUSA
ICD
KNTK
KOS
KWR
LBRT
LPI
MNRL
MPC
MRO
MTDR
MUR
NES
NEX
NGS
NINE
NOG
OGS
OII
OXY
PARR
PBF
PDCE
PED
PHX
PNRG
PSX
PTEN
PUMP
PXD
REI
REPX
RNGR
RRC
SBOW
SD
SHBI
SM
SND
STR
SWN
TALO
TREC
TRGP
TTI
TXMD
VLO
WDFC
WLL
WTI
WTTR
XOM
