ABBV
ABEO
ABIO
ACAD
ACER
ACHV
ACOR
ACTG
ADMP
AGEN
AGRX
AIM
AIMD
ALBO
ALNY
ALT
AMGN
AMPE
ANIK
ANIP
ARDX
ARMP
ASRT
ATHX
ATNM
ATRA
BARK
BBI
BCRX
BDSI
BIAF
BIIB
BMRA
BMRN
BMY
BWEN
CASI
CBAY
CBIO
CDMO
CERS
CLDX
CLSN
CORT
CPHI
CPIX
CPRX
CRIS
CRMD
CSII
CTIC
CTLT
CYAN
CYCC
CYTK
DRRX
DVAX
EBS
ELAN
ELDN
ELOX
EYPT
FBIO
FOLD
FRTX
GALT
GERN
GILD
GLS
GTBP
HALO
HEPA
HSKA
HTBX
IART
IBIO
ICCC
IDRA
IDXX
IMGN
IMNN
INFI
INSM
INVA
IONS
LCI
LCTX
LGND
LJPC
LLY
MBOT
MDGL
MEIP
MNKD
MNOV
MRK
MTEM
MTEX
MTNB
NAII
NATR
NAVB
NBY
NEOG
NHWK
NKTR
NVAX
OCUL
OGEN
OGN
ONCT
OPK
OSUR
PALI
PBH
PBYI
PFE
PHGE
PHIO
PLX
PRPH
PRTK
PTN
QDEL
RCUS
RDUS
REGN
RGEN
RIOT
SAVA
SCWO
SEEL
SGEN
SIGA
SIOX
SRPT
SVRA
SYN
TECH
TGTX
TMBR
TOVX
TPST
TTNP
UG
USNA
UTHR
VCEL
VIRX
VIVO
VNDA
VRTX
WINT
WST
XOMA
XTNT
ZOM
ZSAN
ZTS
