AA
ARNC
ATI
BDC
CENX
CMC
CRS
FRD
FSTR
HAYN
HWM
KALU
MATW
NWPX
OCC
ROCK
SCHN
STLD
SXC
TMST
TWI
UAMY
USAP
WIRE
WOR
X
