ID,Label,Industry
firma,firma,Unclassified
TSLA,TSLA,Unclassified
AAPL,AAPL,Comps
AMZN,AMZN,BusSv
META,META,BusSv
MSFT,MSFT,BusSv
AMC,AMC,Fun
GOOGL,GOOGL,BusSv
AMD,AMD,Chips
NVDA,NVDA,Chips
NFLX,NFLX,Fun
GME,GME,Rtail
BA,BA,Aero
TWTR,TWTR,BusSv
AAL,AAL,Trans
F,F,Autos
ROKU,ROKU,Unclassified
DIS,DIS,Telcm
PYPL,PYPL,Unclassified
SNAP,SNAP,BusSv
DAL,DAL,Trans
BAC,BAC,Banks
NKLA,NKLA,Unclassified
JPM,JPM,Banks
MRNA,MRNA,Unclassified
DKNG,DKNG,Unclassified
LCID,LCID,Fin
SQ,SQ,BusSv
INTC,INTC,Chips
WMT,WMT,Rtail
XOM,XOM,Oil
PENN,PENN,Fun
HD,HD,Rtail
CRM,CRM,BusSv
INO,INO,LabEq
BBIG,BBIG,Unclassified
GS,GS,Fin
MULN,MULN,Unclassified
OXY,OXY,Oil
GM,GM,Autos
PLTR,PLTR,BusSv
JNJ,JNJ,MedEq
PTON,PTON,Unclassified
V,V,BusSv
SOFI,SOFI,Fin
UAL,UAL,Trans
C,C,Banks
PFE,PFE,Drugs
BYND,BYND,Unclassified
MU,MU,Chips
KO,KO,Soda
ADBE,ADBE,BusSv
COIN,COIN,Unclassified
WFC,WFC,Banks
BBBY,BBBY,Rtail
GNUS,GNUS,Unclassified
T,T,Telcm
DWAC,DWAC,Unclassified
TLRY,TLRY,Unclassified
BOXL,BOXL,Unclassified
GE,GE,Mach
COST,COST,Rtail
NVAX,NVAX,Drugs
ZM,ZM,Unclassified
NKE,NKE,Clths
PLUG,PLUG,ElcEq
UBER,UBER,Trans
RIVN,RIVN,Unclassified
LUV,LUV,Trans
CEI,CEI,Oil
WKHS,WKHS,Unclassified
SPCE,SPCE,Fin
IBM,IBM,Comps
CVX,CVX,Rtail
MGM,MGM,Meals
M,M,Rtail
PINS,PINS,BusSv
MCD,MCD,Meals
AYRO,AYRO,Telcm
HOOD,HOOD,Unclassified
CSCO,CSCO,Chips
CZR,CZR,Unclassified
JBLU,JBLU,Trans
MRK,MRK,Drugs
VZ,VZ,Telcm
FCEL,FCEL,ElcEq
MARK,MARK,Telcm
MS,MS,Fin
NOVN,NOVN,Unclassified
UPST,UPST,Unclassified
JAGX,JAGX,Unclassified
PG,PG,Hshld
TGT,TGT,Rtail
KODK,KODK,Hshld
RBLX,RBLX,BusSv
FUBO,FUBO,Fun
BNGO,BNGO,Unclassified
DOW,DOW,Chems
HTZ,HTZ,PerSv
RIOT,RIOT,Drugs
AFRM,AFRM,Unclassified
ABNB,ABNB,Unclassified
SRNE,SRNE,Unclassified
MA,MA,BusSv
UPS,UPS,Trans
ES,ES,Util
UNH,UNH,Insur
SNOW,SNOW,BusSv
SOLO,SOLO,Unclassified
QCOM,QCOM,Chips
MMM,MMM,BldMt
CVNA,CVNA,Rtail
SBUX,SBUX,Meals
WISH,WISH,Unclassified
CAT,CAT,Mach
CRWD,CRWD,Unclassified
ABBV,ABBV,Drugs
W,W,Rtail
PEP,PEP,Soda
BRK,BRK,Insur
CVS,CVS,Rtail
ATVI,ATVI,BusSv
NET,NET,BusSv
TDOC,TDOC,Hlth
STEM,STEM,Fin
IBIO,IBIO,Drugs
WYNN,WYNN,Fun
CEMI,CEMI,Fin
CLOV,CLOV,Fin
TWLO,TWLO,Telcm
A,A,LabEq
DGLY,DGLY,Chips
EBAY,EBAY,BusSv
CHWY,CHWY,Rtail
DVN,DVN,Oil
GILD,GILD,Drugs
U,U,BusSv
VXRT,VXRT,Whlsl
BYFC,BYFC,Banks
CLF,CLF,Mines
KSS,KSS,Rtail
HAL,HAL,Oil
JAKK,JAKK,Toys
CMCSA,CMCSA,Telcm
DDOG,DDOG,Unclassified
ENPH,ENPH,Unclassified
XSPA,XSPA,Telcm
CMG,CMG,Meals
DOCU,DOCU,Unclassified
LMT,LMT,Guns
BIOL,BIOL,MedEq
DYNT,DYNT,Chips
NBY,NBY,Drugs
APT,APT,MedEq
OSTK,OSTK,Rtail
ATER,ATER,Unclassified
ON,ON,Chips
EA,EA,BusSv
HYMC,HYMC,Unclassified
ORCL,ORCL,BusSv
LYFT,LYFT,Unclassified
AXP,AXP,Banks
AMGN,AMGN,Drugs
FSR,FSR,Books
LMND,LMND,Insur
MRO,MRO,Oil
BIOC,BIOC,Unclassified
OCGN,OCGN,Unclassified
LLY,LLY,Drugs
LULU,LULU,Rtail
OGN,OGN,Drugs
COP,COP,Oil
UAVS,UAVS,Aero
ZNGA,ZNGA,Unclassified
LOW,LOW,Rtail
XELA,XELA,Unclassified
TTD,TTD,Unclassified
TRIP,TRIP,Unclassified
SNX,SNX,Whlsl
GMBL,GMBL,Unclassified
DLTR,DLTR,Rtail
AVGO,AVGO,Unclassified
SCHW,SCHW,Fin
X,X,Steel
FDX,FDX,Trans
PHUN,PHUN,Unclassified
TNXP,TNXP,Mines
AA,AA,Steel
INPX,INPX,Unclassified
FCX,FCX,Mines
GEVO,GEVO,Unclassified
MELI,MELI,BusSv
WBA,WBA,Rtail
ESE,ESE,Chips
MO,MO,Smoke
BK,BK,Banks
TXN,TXN,Chips
NOW,NOW,BusSv
ETSY,ETSY,Unclassified
BMY,BMY,Drugs
MSTR,MSTR,BusSv
