AAPL
ALOT
ANET
ANIX
ATEN
AYX
BCOR
BKYI
CACI
CERN
CSPI
CXDO
DAIO
DBD
DELL
DGII
DSS
DXC
EBIX
EXTR
FKWL
GDDY
HPQ
IBM
ICAD
IMMR
INVE
ITRI
JKHY
JNPR
KTCC
LNW
LTRX
MHH
MKFG
NATI
NCR
NTAP
OLED
OMCL
OSPN
PSN
PSTG
QMCO
QUMU
SAIC
SCKT
SGMS
SLP
SMCI
STRM
TACT
TDC
UI
UIS
USAU
VRNT
WDC
WEAV
WYY
XRX
ZBRA
