Source,Target,Weight
LUV,AA,53
PYPL,AA,911
BIOL,AA,3
BAC,AA,3230
PINS,AA,290
EBAY,AA,34
BK,AA,1523
BYND,AA,67
LLY,AA,25
UPST,AA,214
SCHW,AA,2659
CEMI,AA,6
FCX,AA,1947
GOOGL,AA,1448
TGT,AA,139
WYNN,AA,61
GMBL,AA,2
FSR,AA,35
TWLO,AA,57
DWAC,AA,94
SQ,AA,656
AAPL,AA,1861
MGM,AA,27
HD,AA,282
MU,AA,410
PEP,AA,33
JPM,AA,491
LYFT,AA,83
FDX,AA,206
IBM,AA,1345
TLRY,AA,233
DAL,AA,183
AMC,AA,1075
RBLX,AA,124
BYFC,AA,5
GEVO,AA,4
QCOM,AA,303
MRO,AA,181
CSCO,AA,49
ABNB,AA,239
ROKU,AA,592
MA,AA,220
MELI,AA,14
X,AA,1360
HYMC,AA,32
PLTR,AA,104
DOCU,AA,68
CLF,AA,2366
NOW,AA,17
CRWD,AA,124
VZ,AA,1176
DVN,AA,449
DIS,AA,517
SBUX,AA,54
PG,AA,1269
AAL,AA,1938
COP,AA,131
PHUN,AA,10
COIN,AA,447
SOFI,AA,161
ZNGA,AA,18
DDOG,AA,93
INTC,AA,780
IBIO,AA,3
TNXP,AA,4
DVN,AAL,269
PFE,AAL,1464
CEI,AAL,6728
RBLX,AAL,456
BIOL,AAL,69
CZR,AAL,13173
COP,AAL,128
RIOT,AAL,773
WBA,AAL,69
ON,AAL,56
BRK,AAL,376
ESE,AAL,2742
TGT,AAL,154
MCD,AAL,3594
XSPA,AAL,635
SQ,AAL,4228
BMY,AAL,933
BNGO,AAL,1442
CMCSA,AAL,564
PYPL,AAL,1372
APT,AAL,771
CEMI,AAL,5
JBLU,AAL,14169
KODK,AAL,4909
GM,AAL,809
CLF,AAL,2285
SRNE,AAL,5364
SCHW,AAL,2852
U,AAL,158
DAL,AAL,34310
DIS,AAL,7051
AMZN,AAL,27867
HAL,AAL,1803
SPCE,AAL,8217
ATVI,AAL,2077
