TSLA
AAPL
AMZN
META
MSFT
AMC
GOOGL
AMD
NVDA
NFLX
GME
BA
TWTR
AAL
F
ROKU
DIS
PYPL
SNAP
DAL
BAC
NKLA
JPM
MRNA
DKNG
LCID
SQ
INTC
WMT
XOM
PENN
HD
CRM
INO
BBIG
GS
MULN
OXY
GM
PLTR
JNJ
PTON
V
SOFI
UAL
C
PFE
BYND
MU
KO
ADBE
COIN
WFC
BBBY
GNUS
T
DWAC
TLRY
BOXL
GE
COST
NVAX
ZM
NKE
PLUG
UBER
RIVN
LUV
CEI
WKHS
SPCE
IBM
CVX
MGM
M
PINS
MCD
AYRO
HOOD
CSCO
CZR
JBLU
MRK
VZ
FCEL
MARK
MS
NOVN
UPST
JAGX
PG
TGT
KODK
RBLX
FUBO
BNGO
DOW
HTZ
RIOT
AFRM
