ID,Label,Industry
ABC,ABC,Hlth
AMED,AMED,Hlth
ARA,ARA,Hlth
BEAT,BEAT,Hlth
BIOS,BIOS,Hlth
BKD,BKD,Hlth
CAH,CAH,Hlth
CDNA,CDNA,Hlth
CGIX,CGIX,Hlth
CLBS,CLBS,Hlth
CSU,CSU,Hlth
CYH,CYH,Hlth
DGX,DGX,Hlth
DVA,DVA,Hlth
EHC,EHC,Hlth
ENSG,ENSG,Hlth
ENZ,ENZ,Hlth
FVE,FVE,Hlth
GEN,GEN,Hlth
HCA,HCA,Hlth
HGBL,HGBL,Hlth
LH,LH,Hlth
LHCG,LHCG,Hlth
MCK,MCK,Hlth
MD,MD,Hlth
MGLN,MGLN,Hlth
NHC,NHC,Hlth
NSPR,NSPR,Hlth
OCX,OCX,Hlth
OPCH,OPCH,Hlth
OSH,OSH,Hlth
PDEX,PDEX,Hlth
PHR,PHR,Hlth
PMD,PMD,Hlth
QHC,QHC,Hlth
RDNT,RDNT,Hlth
RHE,RHE,Hlth
SEM,SEM,Hlth
SSY,SSY,Hlth
THC,THC,Hlth
TVTY,TVTY,Hlth
UHS,UHS,Hlth
USPH,USPH,Hlth
VNRX,VNRX,Hlth
ZIOP,ZIOP,Hlth
