AAP
ABG
ACI
AEO
AN
ANF
APRN
ASNA
AZO
BBBY
BBW
BBY
BGFV
BIG
BJ
BKE
BLDR
BNED
BOOT
BPTH
BURL
CAL
CASY
CATO
CHS
CHWY
CNXN
CONN
COST
CRI
CSPR
CSS
CTRN
CVNA
CVS
CWH
DASH
DBI
DDS
DG
DKS
DLTR
DPLO
DXLG
ETH
EXPR
FAST
FIT
FL
FLWS
FND
GCO
GES
GME
GNC
GPI
GPS
GRUB
HBI
HD
HIBB
HOME
HVT
HZO
IDEX
IMBI
IMKTA
JAN
JCP
JILL
JWN
KIRK
KKR
KMX
KR
KSPN
KSS
LAD
LB
LL
LOW
LULU
M
MDVL
MGRC
MGY
MIK
MUSA
MYOS
NGVC
OBCI
ODP
ORLY
OSTK
PAG
PDCO
PETS
PFIE
PIR
PLCE
PRTS
PRTY
PSMT
RAD
RH
ROST
RTW
RUSHA
RUSHB
SAH
SBH
SCVL
SFM
SMAR
SMRT
SSI
STMP
SWCH
SYX
TA
TCS
TGT
TIF
TJX
TLRD
TLYS
TSCO
TUES
TWMC
ULTA
URBN
VLGEA
W
WBA
WINA
WMK
WMT
WSM
WSTG
ZAGG
ZUMZ
