ID,Label,Industry
AGX,AGX,Telcm
ALSK,ALSK,Telcm
ATNI,ATNI,Telcm
ATUS,ATUS,Telcm
AYRO,AYRO,Telcm
BBGI,BBGI,Telcm
BCLI,BCLI,Telcm
BIMI,BIMI,Telcm
CABO,CABO,Telcm
CBB,CBB,Telcm
CCOI,CCOI,Telcm
CHTR,CHTR,Telcm
CMCSA,CMCSA,Telcm
CNSL,CNSL,Telcm
CRMT,CRMT,Telcm
CTL,CTL,Telcm
DCAR,DCAR,Telcm
DISCA,DISCA,Telcm
DISCB,DISCB,Telcm
DISCK,DISCK,Telcm
DISH,DISH,Telcm
EGHT,EGHT,Telcm
EMMS,EMMS,Telcm
ETM,ETM,Telcm
EVC,EVC,Telcm
EXPE,EXPE,Telcm
FLNT,FLNT,Telcm
GLIBA,GLIBA,Telcm
GLOW,GLOW,Telcm
GSAT,GSAT,Telcm
GTN,GTN,Telcm
HCHC,HCHC,Telcm
HMTV,HMTV,Telcm
HNGR,HNGR,Telcm
IAC,IAC,Telcm
IDT,IDT,Telcm
INSG,INSG,Telcm
IRDM,IRDM,Telcm
ITGR,ITGR,Telcm
JCOM,JCOM,Telcm
KTOS,KTOS,Telcm
LORL,LORL,Telcm
LUMN,LUMN,Telcm
MARK,MARK,Telcm
MSG,MSG,Telcm
MSGN,MSGN,Telcm
MSGS,MSGS,Telcm
NTN,NTN,Telcm
NXST,NXST,Telcm
OBLG,OBLG,Telcm
OMN,OMN,Telcm
ORBC,ORBC,Telcm
OTEL,OTEL,Telcm
PPL,PPL,Telcm
QRTEA,QRTEA,Telcm
QRTEB,QRTEB,Telcm
RMD,RMD,Telcm
RNG,RNG,Telcm
S,S,Telcm
SALM,SALM,Telcm
SBGI,SBGI,Telcm
SGA,SGA,Telcm
SHEN,SHEN,Telcm
SIRI,SIRI,Telcm
SPOK,SPOK,Telcm
T,T,Telcm
TDS,TDS,Telcm
TMUS,TMUS,Telcm
TSQ,TSQ,Telcm
TWLO,TWLO,Telcm
UONE,UONE,Telcm
UONEK,UONEK,Telcm
USM,USM,Telcm
VG,VG,Telcm
VIAC,VIAC,Telcm
VIACA,VIACA,Telcm
VZ,VZ,Telcm
WOW,WOW,Telcm
XSPA,XSPA,Telcm
ZAYO,ZAYO,Telcm
