AA
AKS
AP
ARNC
ATI
CENX
CMC
CRS
FRD
FSTR
GLW
HAYN
HWM
IIIN
KALU
MATW
NUE
NWPX
OCC
ROCK
RS
SCHN
STLD
SXC
TMST
UAMY
USAP
WIRE
X
