ABBV
ABIO
ACAD
ACER
ACHN
ACHV
ACOR
ACTG
ADMP
AGE
AGEN
AGRX
AIM
AKRX
ALBO
ALNY
ALT
ALXN
AMAG
AMGN
AMPE
ANIK
ANIP
ANVS
ARDX
ARMP
ARQL
ASRT
ATHX
ATNM
ATRA
BBI
BCRX
BDSI
BIIB
BMRA
BMRN
BMY
BPMX
BSTC
BWEN
CASI
CBAY
CBIO
CDMO
CERS
CLDX
CLSN
CORT
CPHI
CPIX
CPRX
CRIS
CRMD
CSII
CTIC
CTLT
CYAN
CYCC
CYTK
DRRX
DVAX
EBS
ELAN
ELOX
EYPT
FBIO
FOLD
GALT
GERN
GILD
HALO
HEPA
HSKA
IART
IBIO
ICCC
IDRA
IDXX
IMGN
IMMU
INFI
INSM
INVA
IONS
JNJ
KDMN
LCI
LCTX
LGND
LJPC
LLY
MBOT
MDCO
MDGL
MEIP
MLND
MNKD
MNOV
MNTA
MRK
MTEM
MTEX
MTNB
NAII
NATR
NAVB
NBY
NEOG
NKTR
NVAX
NVUS
OCUL
OGEN
OMI
ONCT
OPK
OSUR
PBH
PBYI
PDLI
PFE
PFNX
PGNX
PHGE
PHIO
PLX
PRPH
PRTK
PTN
QDEL
RCUS
RDUS
REGN
RGEN
RIOT
SAVA
SEEL
SGEN
SIGA
SIOX
SNCA
SNSS
SRPT
STML
SVRA
SYN
TECH
TGTX
TLGT
TMBR
TTNP
UG
USNA
UTHR
VCEL
VIVO
VNDA
VRTX
VVUS
WINT
WST
XOMA
XTNT
ZOM
ZSAN
ZTS
