AAPL
ALOT
ANET
ANIX
ATEN
BCOR
BKYI
BVSN
CACI
CERN
CSPI
CXDO
DAIO
DELL
DGII
DSS
EBIX
EGOV
EXTR
GDDY
HPQ
ICAD
IMMR
INVE
ITRI
JKHY
JNPR
KTCC
LTRX
NATI
NCR
NTAP
OLED
OMCL
OSPN
PANW
PBI
PSN
PSTG
QBAK
QMCO
QUMU
SAIC
SCKT
SGMS
SLP
SMCI
SQ
STRM
TACT
TDC
UI
UIS
USAU
VRNT
WDC
WYY
ZBRA
