AAON
ACA
ACLS
AGCO
AIMC
ALG
AMAT
AQUA
ARTW
ASTE
BC
BKR
BRBR
BRKS
CARR
CAT
CECE
CFX
CMCO
CMI
CUO
CVV
DCI
DE
DNOW
DRQ
EMR
ENS
EPAC
FET
FLOW
FLS
GBX
GDI
GE
GENC
GGG
GHM
GRC
HURC
IEX
IR
ITT
ITW
IVAC
JBT
KAI
KLIC
KMT
LECO
LNN
LRCX
MIDD
MTW
NDSN
NES
NNBR
NOV
NR
OIS
OSK
PCYO
PFIN
PH
PLOW
ROLL
RRC
RXN
SCS
SCX
SMIT
SNA
SOI
SXI
TAYD
THMO
TKR
TNC
TRNX
TRT
TTC
TWIN
VECO
WBT
WHD
XYL
