AAPL
TSLA
AMZN
FB
MSFT
BA
NFLX
AMD
GOOGL
AAL
NVDA
NKLA
DIS
ROKU
INO
TWTR
GE
BAC
MRNA
ZM
JPM
F
DAL
DEAC
SQ
WKHS
SNAP
IBIO
INTC
BYND
PFE
C
SPCE
WMT
CRM
FSR
VXRT
SRNE
PENN
GS
T
GNUS
XSPA
WFC
BOXL
UBER
NOVN
FSLY
JNJ
KO
