ID,Label,Industry
ABCB,ABCB,Banks
ACNB,ACNB,Banks
AGM,AGM,Banks
ALLY,ALLY,Banks
AMNB,AMNB,Banks
AMRB,AMRB,Banks
AROW,AROW,Banks
ASB,ASB,Banks
ASFI,ASFI,Banks
ASRV,ASRV,Banks
ATLC,ATLC,Banks
ATLO,ATLO,Banks
AUB,AUB,Banks
AUBN,AUBN,Banks
AX,AX,Banks
AXP,AXP,Banks
BAC,BAC,Banks
BANC,BANC,Banks
BANF,BANF,Banks
BANR,BANR,Banks
BBX,BBX,Banks
BCBP,BCBP,Banks
BDGE,BDGE,Banks
BFIN,BFIN,Banks
BHLB,BHLB,Banks
BK,BK,Banks
BKJ,BKJ,Banks
BKSC,BKSC,Banks
BKU,BKU,Banks
BMRC,BMRC,Banks
BMTC,BMTC,Banks
BOCH,BOCH,Banks
BOH,BOH,Banks
BOKF,BOKF,Banks
BOTJ,BOTJ,Banks
BPFH,BPFH,Banks
BPOP,BPOP,Banks
BRBS,BRBS,Banks
BRKL,BRKL,Banks
BSRR,BSRR,Banks
BUSE,BUSE,Banks
BVH,BVH,Banks
BWFG,BWFG,Banks
BXS,BXS,Banks
BYFC,BYFC,Banks
C,C,Banks
CAC,CAC,Banks
CACC,CACC,Banks
CADE,CADE,Banks
CARO,CARO,Banks
CART,CART,Banks
CARV,CARV,Banks
CASH,CASH,Banks
CATY,CATY,Banks
CBAN,CBAN,Banks
CBU,CBU,Banks
CCBG,CCBG,Banks
CCNE,CCNE,Banks
CFBK,CFBK,Banks
CFFI,CFFI,Banks
CFFN,CFFN,Banks
CHCO,CHCO,Banks
CIT,CIT,Banks
CIVB,CIVB,Banks
CIZN,CIZN,Banks
CMA,CMA,Banks
CNBKA,CNBKA,Banks
CNOB,CNOB,Banks
COLB,COLB,Banks
COOP,COOP,Banks
CPF,CPF,Banks
CPSS,CPSS,Banks
CSFL,CSFL,Banks
CTBI,CTBI,Banks
CUBI,CUBI,Banks
CVBF,CVBF,Banks
CVCY,CVCY,Banks
CVLY,CVLY,Banks
CWBC,CWBC,Banks
CZWI,CZWI,Banks
DCOM,DCOM,Banks
DFS,DFS,Banks
EBSB,EBSB,Banks
ECPG,ECPG,Banks
EEFT,EEFT,Banks
EGBN,EGBN,Banks
ELVT,ELVT,Banks
ENVA,ENVA,Banks
ESBK,ESBK,Banks
ESXB,ESXB,Banks
EVBN,EVBN,Banks
EWBC,EWBC,Banks
EZPW,EZPW,Banks
FBC,FBC,Banks
FBIZ,FBIZ,Banks
FBK,FBK,Banks
FBMS,FBMS,Banks
FBNC,FBNC,Banks
FBP,FBP,Banks
FBSS,FBSS,Banks
FCAP,FCAP,Banks
FCBC,FCBC,Banks
FCCO,FCCO,Banks
FCCY,FCCY,Banks
FCF,FCF,Banks
FCFS,FCFS,Banks
FCNCA,FCNCA,Banks
FDEF,FDEF,Banks
FFBC,FFBC,Banks
FFIC,FFIC,Banks
FFIN,FFIN,Banks
FFNW,FFNW,Banks
FHN,FHN,Banks
FISI,FISI,Banks
FLIC,FLIC,Banks
FMBH,FMBH,Banks
FMBI,FMBI,Banks
FMNB,FMNB,Banks
FNB,FNB,Banks
FNLC,FNLC,Banks
FRBA,FRBA,Banks
FRBK,FRBK,Banks
FRC,FRC,Banks
FRME,FRME,Banks
FSB,FSB,Banks
FSBC,FSBC,Banks
FSFG,FSFG,Banks
FULT,FULT,Banks
FUNC,FUNC,Banks
GABC,GABC,Banks
GBCI,GBCI,Banks
GCBC,GCBC,Banks
GFED,GFED,Banks
GHLD,GHLD,Banks
GLBZ,GLBZ,Banks
GNTY,GNTY,Banks
GSBC,GSBC,Banks
GWB,GWB,Banks
HAFC,HAFC,Banks
HBAN,HBAN,Banks
HBMD,HBMD,Banks
HBNC,HBNC,Banks
HFBL,HFBL,Banks
HFWA,HFWA,Banks
HIFS,HIFS,Banks
HMNF,HMNF,Banks
HOMB,HOMB,Banks
HOPE,HOPE,Banks
HTBK,HTBK,Banks
HTH,HTH,Banks
HTLF,HTLF,Banks
HWBK,HWBK,Banks
HWC,HWC,Banks
IBCP,IBCP,Banks
IBKC,IBKC,Banks
IBOC,IBOC,Banks
IMH,IMH,Banks
INBK,INBK,Banks
INDB,INDB,Banks
ISTR,ISTR,Banks
JPM,JPM,Banks
KEY,KEY,Banks
KFFB,KFFB,Banks
KRNY,KRNY,Banks
LARK,LARK,Banks
LC,LC,Banks
LCNB,LCNB,Banks
LKFN,LKFN,Banks
LSBK,LSBK,Banks
MBWM,MBWM,Banks
MCB,MCB,Banks
MFIN,MFIN,Banks
MFNC,MFNC,Banks
MFSF,MFSF,Banks
MLVF,MLVF,Banks
MOFG,MOFG,Banks
MPB,MPB,Banks
MSBF,MSBF,Banks
MTB,MTB,Banks
NBHC,NBHC,Banks
NBN,NBN,Banks
NBTB,NBTB,Banks
NCBS,NCBS,Banks
NKSH,NKSH,Banks
NNI,NNI,Banks
NRIM,NRIM,Banks
NTRS,NTRS,Banks
NWBI,NWBI,Banks
NWFL,NWFL,Banks
NYCB,NYCB,Banks
OCFC,OCFC,Banks
OCN,OCN,Banks
OFG,OFG,Banks
OMF,OMF,Banks
ONB,ONB,Banks
ONDK,ONDK,Banks
OPHC,OPHC,Banks
OPOF,OPOF,Banks
ORRF,ORRF,Banks
OSBC,OSBC,Banks
OTTW,OTTW,Banks
OVBC,OVBC,Banks
OZK,OZK,Banks
PACW,PACW,Banks
PB,PB,Banks
PBBI,PBBI,Banks
PBCT,PBCT,Banks
PBHC,PBHC,Banks
PBIP,PBIP,Banks
PEBK,PEBK,Banks
PEBO,PEBO,Banks
PFBC,PFBC,Banks
PFBI,PFBI,Banks
PFC,PFC,Banks
PFS,PFS,Banks
PFSI,PFSI,Banks
PKBK,PKBK,Banks
PLBC,PLBC,Banks
PLUS,PLUS,Banks
PNBK,PNBK,Banks
PNC,PNC,Banks
