AMPY
APA
AR
AXAS
BATL
BCEI
BRN
CEI
CEIX
CHAP
CHK
CKH
CKX
CNX
COG
COP
CPE
CRC
CRK
CVI
CVX
CXO
DEN
DK
DNR
DO
DVN
DWSN
EGY
ENSV
EOG
EPM
EQT
ERA
ESTE
FRHC
FTSI
GBR
GDP
GPOR
GTE
HAL
HES
HESM
HFC
HLX
HNRG
HP
HPR
HUSA
ICD
JAG
KOS
KWR
LBRT
LLEX
LONE
LPI
MCF
MNRL
MPC
MR
MRO
MTDR
MUR
NBL
NEX
NGS
NINE
NOG
OAS
OII
OXY
PARR
PBF
PDCE
PE
PED
PHX
PKD
PNRG
PSX
PTEN
PUMP
PXD
QEP
QES
REI
RNGR
SBOW
SD
SES
SHBI
SM
SND
SPN
SRCI
SWN
TALO
TELL
TGC
TREC
TRGP
TTI
TXMD
UNT
VLO
VTOL
VVV
WDFC
WLL
WPX
WTI
WTTR
XEC
XOM
YUMA
ZN
