Source,Target,Weight
X,BAC,1149
F,BAC,2435
JNJ,BAC,2275
GM,BAC,1003
MCD,BAC,588
T,BAC,2606
MRK,BAC,3495
SNAP,BAC,2311
XOM,BAC,1181
GE,BAC,3735
IBM,BAC,2237
NVDA,BAC,5308
QCOM,BAC,1274
C,BAC,14905
HD,BAC,841
AMGN,BAC,2398
GOOGL,BAC,5657
PCLN,BAC,1527
BMY,BAC,1629
WFC,BAC,8875
JPM,BAC,18538
AAPL,BAC,11843
WMT,BAC,1019
CAT,BAC,554
FB,BAC,8142
NFLX,BAC,6478
BA,BAC,858
MSFT,BAC,4032
V,BAC,1782
SBUX,BAC,356
M,BAC,455
DIS,BAC,1181
CSCO,BAC,1777
PEP,BAC,524
GILD,BAC,761
AMZN,BAC,6445
TWTR,BAC,1927
MS,BAC,5350
AMD,BAC,5089
INTC,BAC,1921
TGT,BAC,304
PFE,BMY,4704
KO,BMY,510
C,BMY,1459
F,BMY,572
X,BMY,93
JNJ,BMY,5486
TWTR,BMY,768
SRPT,BMY,140
PEP,BMY,417
AMD,BMY,1536
WFC,BMY,183
CMG,BMY,177
VZ,BMY,421
SBUX,BMY,87
XOM,BMY,297
M,BMY,102
GE,BMY,411
FB,BMY,656
CSCO,BMY,967
INTC,BMY,481
AMGN,BMY,1956
MS,BMY,40
IBM,BMY,523
NFLX,BMY,177
WMT,BMY,140
HD,BMY,79
GILD,BMY,5869
GOOGL,BMY,761
TGT,BMY,101
GS,BMY,1321
JPM,BMY,1544
TSLA,BMY,324
SNAP,BMY,365
CAT,BMY,286
MRK,BMY,11150
V,BMY,296
PCLN,BMY,182
MSFT,BMY,1555
MU,BMY,1284
T,BMY,237
AAPL,BMY,1237
BAC,BMY,1667
NVDA,BMY,240
QCOM,BMY,132
BA,BMY,314
AMZN,BMY,845
MCD,BMY,162
DIS,BMY,661
GM,BMY,205
CAT,C,768
AMGN,C,694
CMG,C,538
KO,C,328
XOM,C,585
TGT,C,164
PEP,C,374
FB,C,4739
SRPT,C,609
JNJ,C,422
QCOM,C,172
SBUX,C,214
PFE,C,2019
SNAP,C,1496
T,C,1702
GE,C,1394
HD,C,295
WFC,C,9845
X,C,556
INTC,C,1115
PCLN,C,1409
BA,C,769
IBM,C,779
WMT,C,610
MRK,C,1486
NVDA,C,2129
CSCO,C,1368
GM,C,523
VZ,C,537
MS,C,4800
AAPL,C,7718
BMY,C,1438
BAC,C,15245
GILD,C,234
F,C,1073
TWTR,C,1133
GS,C,10734
AMZN,C,4780
TSLA,C,3369
NFLX,C,4514
GOOGL,C,3912
AMD,C,2389
V,C,888
MCD,C,353
JPM,C,17127
DIS,C,674
MU,C,2250
M,C,868
MSFT,C,2698
GS,CAT,1581
GILD,CAT,445
HD,CAT,881
WMT,CAT,498
BMY,CAT,295
FB,CAT,2308
V,CAT,1523
AAPL,CAT,3728
MU,CAT,551
SNAP,CAT,682
DIS,CAT,1814
WFC,CAT,266
NFLX,CAT,1212
JNJ,CAT,508
INTC,CAT,2589
BA,CAT,3150
GOOGL,CAT,2108
MRK,CAT,853
GE,CAT,1141
PEP,CAT,93
JPM,CAT,1591
IBM,CAT,1299
KO,CAT,787
NVDA,CAT,1113
AMZN,CAT,2284
XOM,CAT,963
TWTR,CAT,2165
F,CAT,955
MCD,CAT,2320
BAC,CAT,685
M,CAT,118
VZ,CAT,426
TGT,CAT,104
AMD,CAT,1296
MS,CAT,330
T,CAT,1151
C,CAT,582
SBUX,CAT,495
AMGN,CAT,269
CMG,CAT,946
PCLN,CAT,758
GM,CAT,1150
CSCO,CAT,1104
MSFT,CAT,2692
TSLA,CAT,983
X,CAT,783
